행정동,구,장애수,교통안전지수,14~23세수,콜택시,대중교통 만족도,예산액,복지 만족도,의류소비인구
효목1동,동구,0.071064716,-0.262887781,-0.448653901,-0.251057106,0.764263592,-0.004200543,-1.192757081,-0.032591878
효목2동,동구,-0.194258819,-0.262887781,-0.448653901,-0.386335133,0.764263592,-0.07311648,-1.192757081,-0.288176768
도평동,동구,-1.251203396,-0.262887781,-1.213666321,-0.865226999,0.764263592,-1.320479308,-1.192757081,-1.31051633
"불로,봉무동",동구,0.071064716,-0.262887781,-0.448653901,-0.594415944,0.764263592,1.02656934,-1.192757081,-0.032591878
지저동,동구,0.062365584,-0.262887781,-0.448653901,-0.53449071,0.764263592,0.093781979,-1.192757081,-0.042815273
동촌동,동구,0.40598131,-0.262887781,-0.06614769,-0.175449311,0.764263592,0.252710568,-1.192757081,0.294556782
방촌동,동구,0.488623067,-0.262887781,-0.06614769,-0.545583253,0.764263592,0.675426234,-1.192757081,0.376343947
해안동,동구,0.336388252,-0.262887781,-0.06614769,-0.790384207,0.764263592,0.179575288,-1.192757081,0.222993013
안심1동,동구,4.938229247,-0.262887781,2.611395781,-0.13668916,0.764263592,3.855717001,-1.192757081,4.680393503
안심2동,동구,-0.181210121,-0.262887781,-0.448653901,-0.55489079,0.764263592,-0.374408829,-1.192757081,-0.277953373
혁신동,동구,-0.263851878,-0.262887781,-0.448653901,-0.686471302,0.764263592,0.669019083,-1.192757081,-0.359740538
안심3동,동구,0.014520356,-0.262887781,-0.448653901,-0.750349051,0.764263592,1.041571449,-1.192757081,-0.083708856
안심4동,동구,1.071464933,-0.262887781,0.31635852,-0.650133661,0.764263592,2.073591508,-1.192757081,0.938630706
공산동,동구,1.836988576,-0.262887781,0.69886473,-0.609078501,0.764263592,1.07110685,-1.192757081,1.674715191
검단동,북구,-0.711857192,-0.777949037,-0.448653901,-0.871602023,-1.275476697,-1.168426685,-0.628213694,-0.850463527
고성동,북구,-1.116366845,-0.777949037,-0.831160111,-0.516768141,-1.275476697,-1.348608261,-0.628213694,-1.21850577
